Show_Title,YouTube Playlist Link,Number of Episodes,Show_Description,Year,URL_Picture,IMDb Rating,Runtime (mins),Title Type
بابار,https://www.youtube.com/watch?v=eGGgMHj4qSY&list=PLex8lf-8pikN_trO0UUPvHV5DDA6DuqCx,26,مسلسل كرتوني يدور حول عائلة الفيل بابار وحياته داخل القصر والمملكة وأصدقائه في الغابة، والعلاقة الوثيقة التي تجمعه برفقائه من الفيلة، وما يفعله مع أبناء مجتمعه.,1989.0,https://i.ytimg.com/vi/BwRtzDVS84U/maxresdefault.jpg,6.5,30.0,TV Series
4,https://www.youtube.com/playlist?list=PL_mO2-UJicIldj6rEuM941BteSjbU-_ka,52,سيمبا هو ابن موفاسا وسرابي، وعمه سكار شريك زيرا، وسمبا أيضاً شريك نالا، وأب كيارا شريكة كوفو (لا تظهر شخصية كوفو إلا في «الأسد الملك: الست مغامرات الجديدة»). وهو ذو فراء ذهبي يتحول لبني محمر عندما يكبر سمبا. ويأتي الاسم «سمبا» من السواحلية وتعني الأسد. شخصية سمبا مستوحاة من شخصية بامبي التي ظهرت في فلم اخر لديزني عام 1942، يقال أيضا إن الشخصية مستوحاة من قصص النبيين موسى ويوسف في الانجيل، كما توجد سمات شبه كثيرة بين سمبا وشخصية هامليت في رواية شكسبير. عام 1997 في برودواي أُدت مسرحية موسيقية مستوحاة من الفيلم.,1995.0,https://s1.dmcdn.net/v/MDStC1Vo0v-lY-KjZ/x1080,6.6,26.0,TV Series
سلام دانك,https://www.youtube.com/playlist?list=PLsRjJU7bpV8FQeEggFl-YE2QKKbm8vKd0,73,"تَدور أحداثُ المُسلسَل حول طالب فاشل يدعى «حَسان» (هاناميتشي ساكوراجي) وكَيفِية تَحولهُ مِن طالبٍ بِلا أهداف ومبتدئ إلَى لاعب جيد في «فَريق الصُقور» (شوهوكو) بِـطريقة طَرِيفة وجَميلَة ومُشّوِقة، حَيث أثار إعجَاب الكَثيرين مَع أنهُ فِي أول مُبارَياته كَان يُطرَد بِـخمس أخطَاء ولكِن الجُمهور لا يهتمُ لِذلك لانهُ يقدم عَرضًا مُمتِعًا أمّا بَاقي لاعِبي الفَريق هم: «فادي، سعد، جواد، بدر وسهيل»
كل منهم له قصته في الانضمام إلى الفريق وقصتهم عند وصولهم إلى البطولة.",1993.0,https://upload.wikimedia.org/wikipedia/ar/8/8f/%D8%B3%D9%84%D8%A7%D9%85_%D8%AF%D8%A7%D9%86%D9%83.jpg,8.7,22.0,TV Series
الرمية الملتهبة,https://www.youtube.com/playlist?list=PLPcqe9_HNzZ9BdynsYUOzvuzj6qoY8QfH,30,تتحدث القصة عن رحلة سامي على درب أبيه البطل الراحل رعد الذي وصاياه معه في ممارسة رياضة كرة اليد الخارقة. كان الجميع يسخر منه في البداية لقصر قامته لكن في الملعب يصبر لاعبا صنديدا عالي الأخلاق الرياضية. يكتشف سامي تدريجيا في نفسه مهارة كانت لأبيه تسمى بالرمية الملتهبة وأثناء محاولته لتنفيذها يلتقي بخصوم وأصدقاء جدد.,1991.0,https://upload.wikimedia.org/wikipedia/ar/d/d3/%D9%85%D9%84%D8%B5%D9%82_%D8%A7%D9%84%D8%B1%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D9%84%D8%AA%D9%87%D8%A8%D8%A9_%28%D8%B3%D8%A8%D9%8A%D8%B3%D8%AA%D9%88%D9%86%29.jpeg,7.2,30.0,TV Series
صاحب الظل الطويل,https://www.youtube.com/playlist?list=PLgYMhZ-uk1YkyzbdFUjP7EFQZUH7FTWdw,40,"تدور أحداث المسلسل حول فتاة يتيمة اسمها جودي أبوت، حصلت على منحة للدراسة في مدرسة لينكولن الثانوية من قبل شخص لا تعرفه اسمه المستعار هو جون سميث كانت تلقبه جودي بـ«صاحب الظل الطويل» كونها لم يسبق لها أن رأت سوى ظله. المقابل الوحيد الذي اشترطه سميث على جودي مقابل المنحة هو أن تقوم بمراسلته مرة واحدة كل شهر، بدون أن تتوقع ردا منه على رسائلها بالضرورة.

المسلسل يروي تفاصيل ثلاث سنوات من حياة جودي، ابتداء من مغادرتها لدار الأيتام وحتى تخرجها من المدرسة الثانوية.",1990.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLcZX0w9LJ8OONKZa1VKwLH8Y7eYkt-2Feuw&s,8.1,24.0,TV Series
ساندي بل,https://www.youtube.com/playlist?list=PL89Yxngm3xQKTp72Pd5NXonXGNtyRMxJD,47,قصة مسلسل ساندي بل ساندي بل هي فتاة صغيرة تعيش في اسكتلندا مع والدها الذي يربيها بمساعدة جيرانه السيد والسيدة سكوت، ولساندي كلب كبير في الحجم يدعى أوليفر، حيث تقضي أغلب وقتها في اللعب مع أوليفر وأصدقائها، تتصف ساندي بأنها فتاة شقية، ففي الحلقة الأولى فقط تتلقى مربيتها السيدة السكوت عدَّة شكاوى من الجيران بخصوص ما تفعله ساندي بأبنائهم الذين يرجعون إلى البيت بثياب متسخة كل يوم بعد أن يلعبوا أو يتعاركوا مع ساندي. كما يبرز صراع بين ساندي بل وفتاة من أسرة ارستقراطية تدعى الآنسة كيتي التي تسعى للزواج من مارك ابن أصحاب القصر القديم، ويبدأ هذا الصراع نتيجة محبَّة ساندي بل للحيوانات، حيث تقوم ساندي بل بإنقاذ حمل صغير كادت تدهسه سيارة الآنسة كيتي، وفي نفس اليوم تخرج الآنسة كيتي مع سائقها لصيد الطيور بينما تكون ساندي بل مستلقية عند البحيرة، فيسقط طائر مصاب قريباً منها وترفض أن تعطيه للآنسة كيتي. وعندما يحاول السائق أن يأخذ الطائر بالقوة ينطلق الكلب أوليفر ويطرحه أرضاً... ثم تذهب الآنسة كيتي إلى مدير المدرسة لتشتكي من الفتاة التي سرقت صيدها، لكن الأستاذ كريستي والد ساندي يقف في صفِّ ابنته، ولم يكن هذا الحدث إلا تمهيداً للعلاقة الشائكة بين ساندي بل والآنسة كيتي مع اختلافات كبيرة بين الفتاة الريفية المرحة والآنسة الأرستقراطية المتعجرفة. والدة ساندي بل ساندي لا تعرف والدتها، كلُّ ما تعرفه عنها هو ما قاله لها والدها الأستاذ كريستي أنَّها مرضت وماتت منذ زمنٍ بعيد فانتقل مع ابنته إلى هذه القرية، لكنَّ السيد كريستي يرفض أن يخبر ساندي تفاصيل كثيرة عن والدتها، فيما تعيش الفتاة الصغيرة حالة من الحنين لأمِّها تتطور أكثر بعد أن تتعرف إلى الكونتيسة ويلنغتون.,1981.0,https://upload.wikimedia.org/wikipedia/ar/c/c3/%D8%B3%D8%A7%D9%86%D8%AF%D9%8A_%D8%A8%D9%84.jpg,7.7,24.0,TV Series
سالي,https://www.youtube.com/playlist?list=PLWxk9zXhhrpPlYCzvZcpVFviFFoyaJHjz,46,تتحدث القصة عن فتاة من أب بريطاني تعيش في الهند وأم فرنسية درست في بريطانيا عندما كبرت في فترة 1885، ولكن مات والدها من حمى شديدة وأخبرها محامي والدها، أن والدها أعلن إفلاسه وأنه سوف يأخذ كل شيء وأخذتها مديرة المدرسة لتجعلها خادمة في مدرستها. وبعد وقت طويل، وجدت صديق والدها الذي كان يبحث عنها منذ زمن وأخذت إرثها وإرث صديق والدها لأنه لايملك أطفالاً وعدها مثل ابنته. قامت الكاتبة فرانسيس هودسون برنيت عام 1888 بنشر الرواية تحت عنوان «سارا كريو». ثم أعيدت صياغتها في عام 1905 إلى عنوان «الأميرة الصغيرة»، التي حولت إلى مسلسل تلفزيوني بعنوان سالي ولاقت صدى كبيراً.,1985.0,https://upload.wikimedia.org/wikipedia/ar/3/39/Sally_1.jpg,7.8,24.0,TV Series
يحيا انجلو,https://www.youtube.com/playlist?list=PL5liiM8Xi_WWTK2hdxeaw-XxVbHRYm3Uh,67,"في سن الثانية عشر، انجلو هو شاب صغير لكي يسمى رجلاً حكيماً لكنه بالتأكيد يتصرف جيدا على طريقته. من خطط مفصلة وواضحة لاستراتيجيات مصورة، أنجلو يتحدث بطريقة حلوة ويعمل له طريقه نحو مختلف الخصوم والمشاكل. انه عبقري مع موهبة للخروج من المتاعب.

هو طفل من النوع الذي يتوقف في اللاشيء، وغير متردد بأي شيء من المشاكل التي وضعت في طريقه. و أكبر تحديات، وأكبر الخطط . و لكن أنجيلو بدون خطة؟ لا يمكن تصوره.

بالتأكيد، انه لديه عقبات معتادة - من الأشقاء والآباء وقوانين المدرسة. ليس لديه ماذا؟ هو ليس لديه أي الاعتماد على القوى العظمى، فقط ذكائه.",2014.0,https://upload.wikimedia.org/wikipedia/ar/8/8a/Angelo_Rules_logo.png,,30.0,TV Series
توب بليت,https://www.youtube.com/playlist?list=PLOQKcZPcwZeNxguoleypavyZizJJS3d8E,39,هو مسلسل أنمى كوري عُرض لأول مرة في 2013. تمت دبلجة المسلسل للغة العربية وعرض على قناة سبيستون سنة 2015. وهو عن مجموعة من الشخصيات تحترف لعبة البلابل، تدور قصة المسلسل عن مشاركة هذه الشخصيات في البطولات والدوريات المختلفة.,2015.0,https://i.ytimg.com/vi/Na6a25oYc7A/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDxWSBQaEjoBU0U6emWBOMWu4zK3w,,20.0,TV Series
شوت,https://www.youtube.com/playlist?list=PLk-lyyZXy5xmDi0JT1L-DQcx07EDK8PTG,39,إنها قصة اللاعب شامل وأصدقاءه وهي قصة واقعية جميلة ومؤثرة، وقد كان شامل منذ طفولته يحلم بأن يصبح لاعب كرة قدم ماهر وقد أشترك معه في حلمه أصدقاءه وهم وليد ورافع وقريبته حسناء وهو وأصدقاءه كانوا يلقبون بالثلاثي الخطير وقد كان متصلاً بهم لفترة طويلة لكنهم تفرقوا عن بعضهم بعد فترة ولكنهم عادو للظهور لمساعدة شامل فيما بعد وقد ألتحق شامل بفريق المدرسة الثانوية للعب كرة القدم وكذلك صديقاه وهنا تبدأ القصة الرائعة.,1993.0,https://upload.wikimedia.org/wikipedia/ar/d/d9/%D8%B4%D9%88%D8%AA.jpg,7.3,30.0,TV Series
نقار الخشب,https://www.youtube.com/playlist?list=PLrCpAz3zkqzwZkfPmnRT91Fupm1xGdjlt,40,وودي وود بيكر هو شخصية رسوم متحركة ويتمثل في طائر نقار الخشب يتميز بذكاءه وبضحكته الرنانة، تم إنتاجه في عام 1940، وقام بابتكار الشخصية والتر لانتز وبين هارداواي وأليكس لوفي وتم توزيعها من قبل إستوديوهات يونيفيرسال,1940.0,https://upload.wikimedia.org/wikipedia/ar/3/3f/Woody_Woodpecker.png,,,TV Series
موكا موكا,https://www.youtube.com/playlist?list=PLbwI0LE0f2MG8LVLBcwScY5XDlD7yJkG4,19,هو مسلسل أنمي ياباني تلفزيوني، أنتج في اليابان عام 1993 بواسطة شركة نيبون أنيميشن، مكون من 51 حلقة. مسلسل موكا موكا هو في الأصل سلسلة مانغا للمؤلفة يوميكو إيغاراشي نشرت في مجلة تشاو اليابانية بين مارس 1993 وسبتمبر 1994، تدور أحداثها حول الفتاة إيوبي شيكاتاني وصديقها الديناصور موكا موكا.,1993.0,https://i1.sndcdn.com/artworks-000091289123-7fo1rx-t500x500.jpg,6.7,,TV Series
همتارو,https://www.youtube.com/playlist?list=PLQYvo6tUowb68J-u3eveS5C_tPUmV7t-5,27,تدور أحداث القصة حول هامستر صغير يدعى همتارو يعيش في بيت مالكته لورا. بعد انتقال عائلة لورا إلى منزل جديد، إلتقى همتارو بالهمستر أكسنارف، بعدها ببوسو، ويقررو تكوين ناد للهمسترات. وهنا تبدأ المغامرات حيث تنضم هامسترات جدد للنادي ويعيشون مغامرات جميلة.,2000.0,https://upload.wikimedia.org/wikipedia/ar/d/de/%D9%87%D9%85%D8%AA%D8%A7%D8%B1%D9%88.jpg,6.3,30.0,TV Series
مغامرات نغم,https://www.youtube.com/playlist?list=PLSbwQshQA44mb5_aDfI_g2tU8Qtp0t_YO,50,"القصة تحكي عن فتاة أتت من كوكب آخر «تشنكسو» تمر بالأخطار مع صديقها القزم«سمير» وصديقاها الطفلان الصغيران ويمرون بأشياء عجيبة مع صديقتهما نغم. هذه القصة تبدأ عن طفلان، Yuuri وKen أو بالعربية رزان ويزن وهذان الطفلان
يعرفان مخلوقان قدما من كوكب آخر هو كوكب الأزهار flower هما نغم Maribell تامبو tanbarin يملكان قوى وذكاء وأفكار ودائما تحدث في المدينة مغامرات بسببهم.",1992.0,https://upload.wikimedia.org/wikipedia/ar/8/80/%D9%85%D8%BA%D8%A7%D9%85%D8%B1%D8%A7%D8%AA_%D9%86%D8%BA%D9%85.jpg,7.4,24.0,TV Series
المخترع الصغير,https://www.youtube.com/playlist?list=PLKpsA84aBmHPGbQSD3YJEqUps20oXFQhs,51,تدور أحداث المسلسل حول الفتى كرم وهو ذكي جدًا ويسميه أصدقائه بالمخترع الصغير حيث يعمل كل يوم على اختراع جديد يساعد به الاخرين في حياتهم اليومية.ويخترع روبوت يساعده فيما بعد في جميع اختراعاته، وفي كل حلقة نرى اختراعًا جديدًا لمخترعنا الصغير كرم ولا تخلوا من المغامرات والطرائف.,1988.0,https://upload.wikimedia.org/wikipedia/ar/0/08/%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B1%D8%B9_%D8%A7%D9%84%D8%B5%D8%BA%D9%8A%D8%B1.jpg,7.3,25.0,TV Series
الضربة المزدوجة,https://www.youtube.com/playlist?list=PL-q6-bai3_dCj4aUW4oBPo7gBeDlSZmnS,18,ينتشر الشر في الأرض ويعم الفساد وتسود الفوضى ولكن بقدوم الأخوين وضربتهم المزدوجة يتعاونان ضد اللهب الأسود لحماية نادي التنين. تجري الكثير من المشاحنات مع الأعداء الذين يحاولون بشتى الوسائل أن يقضوا على الحقيقة والعدالة ولكن أبطالنا يقفون لهم بالمرصاد ويتصدون لجميع خططهم الشريرة.,1993.0,https://upload.wikimedia.org/wikipedia/ar/3/37/%D8%A7%D9%84%D8%B6%D8%B1%D8%A8%D8%A9_%D8%A7%D9%84%D9%85%D8%B2%D8%AF%D9%88%D8%AC%D8%A9.jpg,6.2,30.0,TV Series
نصف بطل,https://www.youtube.com/playlist?list=PLxI4FwRLmVpTx1RMEg1oTUnzHlneo088C,50,نصف بطل هو عنوان قصة صبي عمره 10 سنوات ولاعب كرة قاعدة مثل أبيه.,1990.0,https://www.arabic-toons.com/images/anime/cat_1450218408.jpg,,30.0,
صقور الأرض,https://www.youtube.com/playlist?list=PLENX-FUnNPFWXg4_7QC3PmCon1YVOYaxB,49,تجري الأحداث قبل حوالي 1800 عام في الصين، حين بدأ يضعف حكم سلالة الهان واندلعت حربٌ أهلية طاحنة في ربوع البلاد ما أدى إلى انقسامها إلى ثلاث ممالك، وبطل هذه القصة هو «عبد الرحمن» (ليو باي) وهو شابٌّ قروي بسيط يحاول أن يرجع الحكم لإمبراطورية هان مع صديقيه «حمزة» (كوان يو) و«حكمت» (جانغ فاي) وكلاهما عاهداه على الأخوة الأبدية للعمل على توحيد البلاد وإعادة السلام إليها، ولكن «عبد الرحمن» يواجه عقبات كثيره وأولها عدم وجود الجيش القوي الذي يمكنه من تحقيق حلمه فيبدأ المتطوعون بالانضمام إليه حتى يشكل «عبد الرحمن» قوه لا يستهان بها، ومن أشد خصوم «عبد الرحمن» هو «تسو تسو» (تساوتساو) وهو رجل ذو طموح لا محدود، فهو يريد السيطرة على كل البلاد بأي ثمن كان، فيغتال ويغزو ويبطش دون أن يهتم برجاله وبحب الناس له ولكن أكبر همه السيطرة على جميع البلاد غير أن «تسو تسو» يقوم بالتحالف مع «عبد الرحمن» حتى يتمكنوا من القضاء على «لوبو» (لو بو) الذي أصبح خطراً يهدد البلاد وبعد أن ينتهي «تسو تسو» و«عبد الرحمن» من القضاء على «لوبو» يعودان للقتال بينهما لكن «عبد الرحمن» يستعين في تلك المرحلة بالمخطط البارع «برهان» (جوكيه ليانغ) ليساعده للانتصار على «تسو تسو».,1992.0,https://upload.wikimedia.org/wikipedia/ar/0/0f/%D8%B5%D9%82%D9%88%D8%B1_%D8%A7%D9%84%D8%A3%D8%B1%D8%B6.jpg,7.4,15.0,Video Game
منصور,https://www.youtube.com/playlist?list=PLgvDkUBbUAV3K19lykgxmWo9eq-saUQAj,24,تدور أحداث المسلسل حول منصور، وهو شاب متحمس وفضولي ومخترع يبلغ من العمر 12 عامًا يميل إلى عيش الحياة على أكمل وجه. طوال المسلسل، يجد منصور نفسه في مغامرات عديدة مع أصدقائه سالم وعبيد وتركي وعائلته، حيث يقوم منصور بتعليم الجمهور أخلاقًا ودروسًا مهمة على طول الطريق.,,https://upload.wikimedia.org/wikipedia/ar/5/5e/%D8%B4%D8%B9%D8%A7%D8%B1_%D9%85%D9%86%D8%B5%D9%88%D8%B1.png,,20.0,TV Series
زورو,https://www.youtube.com/playlist?list=PLy3-6KnkGqb84JQa9b9Na7keUxIfcv9y5,36,"زورو هو رياضي رشيق وبهلوان، وذلك باستخدام السوط كونه مثل لاعب الجمباز يجيد التأرجح من خلال الفجوات بين أسقف المدينة، وقادر على الهبوط من ارتفاعات كبيرة ويسقط بدون تردد. على الرغم من انه هو المبارز الرئيسي والقادر على إصابة الهدف فقد أظهر أكثر من مرة مهارته في القتال الأعزل ضد معارضين أشداء.

وقد أتاح له حساب البراعة والدقة والتكتيك أن يستخدم ما لديه من سلاحين رئيسيين، سيفه والسوط، كامتداد ليده الماهرة. انه لم يستخدم القوة الغاشمة قط، ولكن له تصرف الثعلب الماكر في استعمال العقل وتقنية جيدة لممارسة قهر الخصم.",1997.0,https://upload.wikimedia.org/wikipedia/ar/thumb/a/a4/Roronoa_Zoro.jpg/208px-Roronoa_Zoro.jpg,6.5,30.0,TV Series
عبقور,https://www.youtube.com/playlist?list=PL5DmfvC7nJkEU_JpQNDpy9_ei6PnJT9Bq,35,يتم إرسال دورايمون في الوقت المناسب من قبل صبي صغير يدعى سيواشي نوبي لتحسين ظروف جده نوبيتا، حتى يتمتع نسله بمستقبل أفضل. في الإطار الزمني الأصلي، لم يتمتع نوبيتا شيئًا سوى البؤس والسوء الذي تجلى في شكل درجات رديئة للغاية طوال حياته. ويبلغ هذا ذروته بإحراق عمل مستقبلي أنشأه وهو ما يجعل خط عائلته تعاني من مشاكل مالية. من أجل تغيير التاريخ وتحسين ثروات عائلة نوبي، أراد سيواشي في البداية أن يرسل روبوتًا فائقًا إلى الماضي لحماية نوبيتا، لكن بسبب التكاليف لم يتمكن إلا من شراء روبوت آلي غير مُكتمل بشكل مُجسم قطة آلية سُميت دورايمون.,1979.0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLyHcFpbrKlSDupLGscHgQ6g2vUQqoRWSn2BDcD6mpEScGxZIW_zAvj1Zn_OywZmJhU9vmObshzUNGvdJp9ZH7ZVd78Z0qOx-uprqQozq-NdQJSgtd0LA5p2jTrPv95-hnQnDiN_C8Rv0/s1600/%25D8%25B9%25D8%25A8%25D9%2582%25D9%2588%25D8%25B1.jpg,8.1,25.0,TV Series
أرغاي الفارس النبيل,https://www.youtube.com/playlist?list=PLfj2eTjRAdX3T5cVYQV8vWnL9mATIgT1T,27,تبدأ القصة في عامي 1250 و 2075 حيث تسافر الملكة الشريرة عبر الزمن لتسرق شباب إحدى الأميرات الجميلات، وتنجح الملكة في سرقة شباب الأميرة خطيبة الأمير أرغاي وتركها في نوم متصل. يسافر أرغاي عبر الزمن لإنقاذ خطيبته، ويجتمع برجل المباحث «أوسكار» وآخرين الذين قرروا مساعدته في معركته ضد الملكة وإنقاذ حبيبته. ولهزيمة الملكة وإنقاد الأميرة عليهم أن يسقوها بترياق يحتوي على 13 عنصر من العناصر فريدة من نوعها. تتكون المصاعب والتحديات عند محاولة العثور على كل من هذه المكونات عبر الزمن.,2000.0,https://upload.wikimedia.org/wikipedia/ar/5/52/%D8%A3%D8%B1%D8%BA%D8%A7%D9%8A_%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D8%B3_%D8%A7%D9%84%D9%86%D8%A8%D9%8A%D9%84.jpg,8.0,24.0,TV Series
أكاديمية الشرطة,https://www.youtube.com/playlist?list=PLg18i8BkU_hOtxKPj1-ig37QmN9UC2hj2,18,يظهر كاري ماهوني (بالإنجليزية: Carey Mahoney)‏ بطلا في المسلسل مع فرقة من زملائه الشرطيين والشرطيات وكابتن الأكاديمية سريع الغضب ثاديوس هاريس (بالإنجليزية: Thaddeus Harris)‏. تقوم المجموعة بمكافحة الجرائم وحماية المدينة من اللصوص والمجرمين.,1988.0,https://upload.wikimedia.org/wikipedia/ar/thumb/2/22/%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9_%D9%83%D8%B1%D8%AA%D9%88%D9%86.png/440px-%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9_%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9_%D9%83%D8%B1%D8%AA%D9%88%D9%86.png,5.6,22.0,TV Series
باص المدرسة العجيب,https://www.youtube.com/playlist?list=PLNwh51cjGobNZpIhfoFQLhrT7NCr5RiHv,19,"تدور أحداث المسلسل حول مغامرات السيدة فريزل، المعلمة المبتكرة التي تأخذ طلابها في رحلات مذهلة على متن ""الباص المدرسي العجيب""، الذي يمكنه التحول إلى أي شكل ويمكنه السفر إلى أماكن غريبة ورائعة.",1994.0,https://upload.wikimedia.org/wikipedia/ar/9/96/%D8%A8%D8%A7%D8%B5_%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9_%D8%A7%D9%84%D8%B9%D8%AC%D9%8A%D8%A8.jpg,7.8,30.0,TV Series
البؤساء,https://www.youtube.com/playlist?list=PLt_luoZum2FHxyqKbj9TSangXadLQNFwK,52,بيئة الأنيمي هي جمهوريَّة فرنسا في القرن التاسع عشر. فانتين خيَّاطة كانت تعمل في باريس، بعد موت زوجها وتسريحها من عملها باعت منزلها وغادرت باريس للبحث عن عمل في مدينة مونتفرميل برفقة ابنتها كوزيت، في تلك الفترة الصعبة كانت فرنسا تمر بضائقة فلم يكن يُسمح لمن لديهم أطفال بالعمل، لاحقًا وبعد صراع مع النفس تقرر فانتين ترك ابنتها مع عائلة تيناردييه التي عرضت عليها ذلك وتغادر لمدينة مونتريل-سور-مير للعمل في مصنع للأزرار الزجاجية أخبرها خبازٌ عن توفر فرص عمل به. رغم أن فانتين تركت مبلغًا كبيرًا من المال وكانت تقوم بإرسال المال شهريًا لعائلة تيناردييه إلا أنهم استغلوها وعاملوا كوزيت كخادمة وعرضوها لأقسى أنواع الأذى.,2007.0,https://upload.wikimedia.org/wikipedia/ar/a/a1/Les_Miserables_Arabic_Opening.jpeg,8.2,24.0,TV Series
السنافر,https://www.youtube.com/playlist?list=PL9gKglGE2NdGka5IM2zShxo8UFXqwr5K2,115,"تمثل عائلة السنافر الكثير من الشخصيات مختلفة الطباع وهم كثر فهناك بابا سنفور وسنفور الحالم وسنفور القوي وسنفور المفكر (الذي يرتدي نظارة) وسنفور الأكول وسنفور الغضبان وسنفور الكسول وسنفور الشاعر وسنفور الرسام وسنفور المازح وسنفور الموسيقي العازف وسنفور العبقري وسنفور المغرور وسنفور المزارع وسنفور المغامر وسنفور الطفل وسنفورة الجميلة.

للسنافر عدو كريه هو شرشبيل الشرير وقطه الأحمر المشاكس «هرهور» اللذان يعيشان في القلعة المهجورة. بهذه الشخصيات المحببة يتم عكس قيم مميزة للأطفال بصورة خاصة ولعموم المشاهدين من مختلف الأعمار والثقافات.",1981.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Harikalar_Diyari_Smurfs_06048_nevit.jpg/520px-Harikalar_Diyari_Smurfs_06048_nevit.jpg,7.2,30.0,TV Series
مغامرات حنين,https://www.youtube.com/playlist?list=PL5CCNY54V96pMD1BvB-ZU1kBMpNDJ2EVG,38,تدور أحداث المسلسل عن فتاة اسمها حنين، تبلغ من العمر 12 سنة تأتي من كوكب بعيد. يرسلها والداها إلى كوكب الأرض لمساعدة سكانه، وحمايتهم من الأشرار. وتسكن عند إحدى العائلات، ويرافق حنين 3 حيوانات طائر وكلب وقرد. في كل مرة تتحول حنين بواسطة عصا سحرية إلى عدة شخصيات على حسب الموقف الذي تتعرض له لمساعدة الناس من الأشرار. ولدى حنين سيارة طائرة تساعدها في التنقل من مكان إلى آخر.,1991.0,https://upload.wikimedia.org/wikipedia/ar/9/96/%D9%85%D8%BA%D8%A7%D9%85%D8%B1%D8%A7%D8%AA_%D8%AD%D9%86%D9%8A%D9%86.jpg,7.8,24.0,TV Series
مسرح الحياة,https://www.youtube.com/playlist?list=PL00E1D676B210DD7C,6,يروي هذا الفيلم سيرة حياة «تشيكو» اليابانية والتي كانت تعيش في منطقة كورية واقعة تحت الاحتلال الياباني، هذه الفتاة التي عاشت طفولة استثنائية عنوانها الخوف والتشرد. كانت «تشيكو» تعيش حياة فارهة مع عائلتها وينعمون بالهناء والسعادة، إلى أن اندلعت الحرب وبدأت تتقدم شيئا فشيئا وأخذت تسلب من «تشيكو» ما هو غال على قلبها، فأخذت والدها الذي تم استدعاؤه ليقاتل في الجبهة مع صفوف جيشهم الوطني، وابتليت بعدها بوفاة أختها الصغيرة وافترقت عن صديقيتها الحبيبة «أوهانا». ولم يقف الأمر عند هذا الحد، حيث تقدمت فلول الأعداء وحاصرت مدينتهم فاضطرت هي ومن يعيش معها للهجرة متوجهين إلى المدينة التي تتمركز فيها المقاومة، وهم يقاسون معاناة طول المسافة وطريقها الوعرة وخطر فتك الأعداء بهم.,1993.0,https://upload.wikimedia.org/wikipedia/ar/5/55/%D9%81%D9%8A%D9%84%D9%85_%D9%85%D8%B3%D8%B1%D8%AD_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9.jpg,6.9,76.0,Movie
أسرار المحيط,https://www.youtube.com/watch?v=vtNr2_ma5NI&list=PLrOePRRTvAKi7nMMDdnKEPvA7aBv1Z22E,39,"يتحدث المسلسل عن مغامرات بنت الأحد عشر ربيعا «منارة» (نانامي سيمبسون) ووالدها عالم البحار الدكتور مفيد (سكوت سيمبسون) الذي يبحث عبر المحيطات بسفينته الشراعية عن حوت العنبر المتوهج، وحكايتهم مع أنثى الأوركا أو الحوت القاتل «لؤلؤة» (تيكو) وصغيرها «شراع» (انريكو). يصحب هؤلاء في رحلتهم الاستكشافية البحار «ياطر» و «رغدة» وخادمها.

تنسجم «منارة» مع الطبيعة وأصدقاءها الحيتان الذي قطع والدها عهدا على نفسه أن يحميها من القتل العشوائي، لحد يجعلها تتمكن من التنفس تحت الماء لمدة طويلة أذهلت والدها. وكافأت إحدى حيتان العنبر المتوهجة أحبة الطبيعة بإنقاذ حياتهما في النهاية حيث كانا في غواصة عالقين بين جبلين جليديين فتأتي لؤلؤة وتضرب الغواصة برأسها وتحررها مما كانت عالقة به لكنها تموت فتحزن منارة عليها كثيرا وتكون نهاية القصة محزنة.",1994.0,https://upload.wikimedia.org/wikipedia/ar/6/65/%D8%A7%D8%B3%D8%B1%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D8%AD%D9%8A%D8%B7.jpg,7.7,24.0,TV Series
